Name          Model       Number           Cost          Status,,,,
KTM,RC390,KA100,3000,Available
KTM,RC200,KA101,4000,Booked
KTM,Duke200,KA102,5000,Available
KTM,RC200,KA108,5000,Deleted
KTM,Duke390,KA103,6000,Available
KTM,Duke250,KA104,7000,Available
KTM,Adventure390,KA105,8000,Available
KTM,Adventure250,KA106,9000,Available
KTM,RC200,KA107,10000,Available
KTM,RC201,KA108,10001,Available
KTM,RC202,KA109,10002,Available
KTM,RC203,KA110,10003,Available
KTM,RC204,KA111,10004,Available
KTM,RC205,KA112,10005,Available
KTM,RC206,KA113,10006,Available
KTM,RC207,KA114,10007,Available
KTM,RC208,KA115,10008,Available
KTM,RC209,KA116,10009,Available
KTM,RC210,KA117,10010,Available
KTM,RC211,KA118,10011,Available
KTM,RC212,KA119,10012,Available
KTM,RC213,KA120,10013,Available
KTM,RC214,KA121,10014,Available
KTM,RC215,KA122,10015,Available
KTM,RC216,KA123,10016,Available
KTM,RC217,KA124,10017,Available
KTM,RC218,KA125,10018,Available
KTM,RC219,KA126,10019,Available
KTM,RC220,KA127,10020,Available
KTM,RC221,KA128,10021,Available
KTM,RC222,KA129,10022,Available
KTM,RC223,KA130,10023,Available
KTM,RC224,KA131,10024,Available
KTM,RC225,KA132,10025,Available
KTM,RC226,KA133,10026,Available
KTM,RC227,KA134,10027,Available
KTM,RC228,KA135,10028,Available
KTM,RC229,KA136,10029,Available
KTM,RC230,KA137,10030,Available
KTM,RC231,KA138,10031,Available
KTM,RC232,KA139,10032,Available
KTM,RC233,KA140,10033,Available
KTM,RC234,KA141,10034,Available
KTM,RC235,KA142,10035,Available
KTM,RC236,KA143,10036,Available
KTM,RC237,KA144,10037,Available
KTM,RC238,KA145,10038,Available
KTM,RC239,KA146,10039,Available
KTM,RC240,KA147,10040,Available
KTM,RC241,KA148,10041,Available
KTM,RC242,KA149,10042,Available
KTM,RC243,KA150,10043,Available
KTM,RC244,KA151,10044,Available
KTM,RC245,KA152,10045,Available
KTM,RC246,KA153,10046,Available
KTM,RC247,KA154,10047,Available
KTM,RC248,KA155,10048,Available
KTM,RC249,KA156,10049,Available
KTM,RC250,KA157,10050,Available
KTM,RC251,KA158,10051,Available
KTM,RC252,KA159,10052,Available
KTM,RC253,KA160,10053,Available
KTM,RC254,KA161,10054,Available
KTM,RC255,KA162,10055,Available
KTM,RC256,KA163,10056,Available
KTM,RC257,KA164,10057,Available
KTM,RC258,KA165,10058,Available
KTM,RC259,KA166,10059,Available
KTM,RC260,KA167,10060,Available
KTM,RC261,KA168,10061,Available
KTM,RC262,KA169,10062,Available
KTM,RC263,KA170,10063,Available
